City_ID,City,Lat,Lon,Max Tem,Humidity,Cloudiness,Wind Speed,Country,Date
198,Bairiki,1.3292,172.9752,80.6,78,40,8.05,KI,1659532687
199,Namie,37.4833,141.0,73.71,93,100,8.01,JP,1659532687
200,Kindu,-2.95,25.95,89.55,40,97,0.47,CD,1659532688
201,Zirovnice,49.2532,15.1882,85.1,48,5,3.0,CZ,1659532688
202,Mayumba,-3.432,10.6554,72.84,81,71,9.46,GA,1659532689
203,Colares,38.7992,-9.4469,80.46,65,75,23.0,PT,1659532689
204,Vila Franca Do Campo,37.7167,-25.4333,75.61,60,0,7.02,PT,1659532689
205,Agadir,30.4202,-9.5982,88.25,42,18,9.08,MA,1659532690
206,Matay,28.419,30.7792,101.75,14,0,16.58,EG,1659532690
207,Jamestown,42.097,-79.2353,70.52,71,0,10.36,US,1659532603
208,Basco,20.4487,121.9702,83.5,72,100,10.58,PH,1659532691
209,Cidreira,-30.1811,-50.2056,63.66,88,93,14.34,BR,1659532691
210,Goundam,16.4145,-3.6708,95.36,37,53,4.36,ML,1659532692
211,Saint-Pierre,-21.3393,55.4781,73.08,74,0,23.02,RE,1659532692
212,Faanui,-16.4833,-151.75,78.4,73,6,20.94,PF,1659532693
213,Constitucion,-35.3333,-72.4167,46.06,68,82,5.03,CL,1659532693
214,Wanaka,-44.7,169.15,39.09,88,100,6.13,NZ,1659532693
215,Waynesboro,38.0685,-78.8895,79.43,78,0,4.61,US,1659532694
216,Navahrudak,53.6,25.8333,73.81,55,26,6.02,BY,1659532694
217,Kotelnich,58.3089,48.348,76.59,47,100,2.42,RU,1659532695
218,Goya,-29.14,-59.2626,64.62,89,100,8.03,AR,1659532695
219,Skibbereen,51.55,-9.2667,63.1,68,17,16.06,IE,1659532696
220,Doha,25.2867,51.5333,111.51,36,0,8.05,QA,1659532603
221,San Prisco,41.0871,14.2782,96.49,22,20,12.66,IT,1659532696
222,Dharchula,29.85,80.5333,76.01,94,100,1.92,IN,1659532697
223,Kanke,23.4333,85.3167,80.62,83,75,5.75,IN,1659532697
224,Portland,45.5234,-122.6762,62.98,84,20,5.75,US,1659532398
225,Lata,40.1629,-8.3327,92.91,25,0,8.75,PT,1659532698
226,Xinzhi,36.4989,111.7047,83.93,63,63,4.63,CN,1659532698
227,Revelstoke,50.9832,-118.2023,59.02,88,100,0.0,CA,1659532512
228,Baihar,22.1,80.55,78.58,86,94,1.16,IN,1659532699
229,Turayf,31.6725,38.6637,106.05,17,0,3.44,SA,1659532699
230,Mount Gambier,-37.8333,140.7667,51.64,91,100,14.2,AU,1659532700
231,Halifax,44.6453,-63.5724,71.53,94,100,4.61,CA,1659532629
232,Nola,40.922,14.5329,95.4,31,42,6.78,IT,1659532702
233,Broken Hill,-31.95,141.4333,69.39,40,100,24.2,AU,1659532703
234,Kismayo,-0.3582,42.5454,78.33,72,60,19.71,SO,1659532703
235,Marzuq,14.4,46.4667,88.66,37,100,6.89,YE,1659532703
236,Port Elizabeth,-33.918,25.5701,75.49,46,0,2.3,ZA,1659532704
237,Dikson,73.5069,80.5464,42.84,99,100,8.28,RU,1659532704
238,Norman Wells,65.282,-126.8329,57.24,88,75,14.97,CA,1659532705
239,Rio Grande,-32.035,-52.0986,60.91,98,100,8.48,BR,1659532705
240,Battle Creek,42.3212,-85.1797,74.53,60,0,16.11,US,1659532587
241,Linhares,-19.3911,-40.0722,79.27,58,49,3.74,BR,1659532452
242,Kargasok,59.0556,80.8572,66.43,50,13,9.86,RU,1659532706
243,Lonato,45.4648,10.4739,92.28,32,8,5.75,IT,1659532706
244,Sao Joao Da Barra,-21.6403,-41.0511,77.09,74,70,3.8,BR,1659532706
245,Lompoc,34.6391,-120.4579,59.59,92,100,8.01,US,1659532707
246,Alakurtti,66.9672,30.3491,66.36,41,42,9.15,RU,1659532707
247,Kiunga,-6.1219,141.2906,73.96,99,99,2.13,PG,1659532708
248,Praia Da Vitoria,38.7333,-27.0667,82.65,74,40,3.09,PT,1659532708
